,DPTO,NOMDPTO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
320,50105,San Rafael,173571,175612,177654,179695,181736,183778,185819,187860,189902,191943,193816,195679,197528,199360,201170,202960,204730,206479,208202,209897,211564,213204,214816,216396,217946
321,54105,San Javier,19187,19406,19624,19843,20062,20280,20499,20718,20936,21155,21326,21494,21662,21828,21991,22154,22314,22472,22628,22781,22932,23080,23225,23368,23508
322,58105,Picunches,6427,6523,6620,6716,6812,6909,7005,7101,7198,7294,7415,7530,7641,7750,7854,7954,8051,8143,8230,8314,8394,8471,8543,8611,8676
323,66105,Los Andes,5630,5691,5752,5814,5875,5936,5997,6059,6120,6181,6267,6353,6440,6525,6608,6693,6776,6859,6941,7022,7103,7182,7260,7337,7412
324,70105,Sarmiento,19092,19480,19868,20256,20644,21032,21420,21808,22196,22584,22972,23362,23750,24139,24526,24912,25298,25682,26063,26440,26816,27188,27556,27920,28281
325,82105,San Jerónimo,77253,77828,78404,78979,79555,80130,80706,81281,81857,82432,82612,82795,82979,83163,83348,83533,83718,83901,84083,84263,84441,84617,84790,84961,85130
326,86105,Loreto,17442,17736,18030,18323,18617,18911,19205,19498,19792,20086,20405,20726,21053,21383,21714,22048,22383,22718,23054,23387,23719,24047,24371,24690,25005
327,90105,Tafí Viejo,108017,109891,111766,113640,115514,117389,119263,121137,123012,124886,128944,133012,137081,141148,145198,149234,153254,157251,161217,165143,169029,172877,176678,180432,184133
328,6112,Bragado,40259,40420,40581,40743,40904,41065,41226,41388,41549,41710,42115,42511,42907,43303,43691,44069,44439,44809,45170,45531,45883,46227,46570,46913,47239
329,10112,Valle Viejo,23707,24176,24646,25115,25585,26054,26524,26993,27463,27932,28452,28971,29488,30002,30514,31022,31526,32026,32519,33005,33482,33951,34408,34854,35290
330,14112,Río Seco,12635,12762,12889,13016,13143,13271,13398,13525,13652,13779,13905,14032,14159,14286,14412,14538,14663,14788,14911,15034,15155,15275,15393,15510,15625
331,18112,Monte Caseros,33684,34079,34473,34868,35263,35657,36052,36447,36841,37236,37956,38680,39404,40125,40842,41553,42260,42957,43642,44311,44963,45602,46221,46821,47402
332,22112,O'Higgins,19231,19388,19545,19701,19858,20015,20172,20328,20485,20642,20718,20796,20873,20951,21028,21104,21180,21255,21329,21402,21473,21544,21612,21679,21745
333,38112,Yaví,18160,18486,18811,19137,19463,19788,20114,20440,20765,21091,21482,21875,22271,22668,23065,23463,23861,24258,24654,25048,25440,25831,26218,26603,26984
334,42112,Puelén,7757,7969,8181,8393,8605,8816,9028,9240,9452,9664,9818,9972,10130,10288,10450,10614,10779,10947,11116,11288,11461,11636,11812,11990,12170
335,46112,Rosario Vera Peñaloza,13299,13427,13556,13684,13812,13941,14069,14197,14326,14454,14559,14666,14773,14883,14992,15103,15213,15324,15435,15545,15655,15764,15871,15978,16083
336,50112,Santa Rosa,15818,15921,16024,16127,16230,16332,16435,16538,16641,16744,16976,17207,17435,17664,17890,18112,18329,18546,18761,18970,19176,19379,19578,19776,19967
337,54112,San Pedro,23736,24576,25416,26255,27095,27935,28775,29614,30454,31294,31595,31893,32188,32481,32770,33056,33338,33617,33892,34162,34428,34690,34947,35198,35444
338,58112,Zapala,35806,36052,36298,36544,36790,37035,37281,37527,37773,38019,38675,39331,39985,40634,41274,41909,42538,43159,43770,44367,44959,45540,46112,46674,47228
339,66112,Metán,39006,39256,39507,39757,40007,40258,40508,40758,41009,41259,41841,42425,43005,43582,44153,44723,45289,45850,46404,46952,47492,48028,48554,49073,49584
340,70112,Ullum,4490,4546,4602,4658,4714,4771,4827,4883,4939,4995,5118,5240,5365,5489,5611,5732,5854,5975,6095,6216,6334,6454,6569,6685,6798
341,82112,San Justo,40379,40532,40685,40838,40991,41143,41296,41449,41602,41755,42164,42575,42990,43403,43812,44218,44619,45011,45396,45772,46134,46486,46828,47159,47475
342,86112,Mitre,1813,1823,1834,1844,1854,1865,1875,1885,1896,1906,1867,1828,1792,1753,1715,1676,1634,1595,1556,1517,1478,1440,1401,1362,1329
343,90112,Trancas,15473,15736,16000,16263,16527,16790,17054,17317,17581,17844,18317,18790,19265,19739,20211,20681,21150,21617,22079,22535,22989,23438,23881,24319,24750
344,30113,Villaguay,48416,48574,48732,48890,49048,49206,49364,49522,49680,49838,50207,50996,51479,51955,52420,52872,53312,53739,54149,54545,54922,55284,55627,55951,56258
345,6119,Brandsen,22515,22956,23396,23837,24277,24718,25158,25599,26039,26480,27004,27523,28037,28544,29043,29536,30023,30502,30975,31440,31897,32350,32794,33233,33665
346,14119,Río Segundo,95803,96710,97617,98524,99431,100338,101245,102152,103059,103966,104766,105566,106367,107164,107957,108746,109527,110303,111070,111827,112574,113311,114035,114745,115440
347,18119,Paso de los Libres,46326,46724,47122,47521,47919,48317,48715,49114,49512,49910,50501,51095,51690,52282,52871,53454,54033,54606,55168,55717,56254,56778,57286,57779,58257
348,22119,Presidencia de la Plaza,12231,12296,12361,12426,12491,12556,12621,12686,12751,12816,12912,13009,13104,13202,13297,13393,13486,13580,13671,13762,13851,13938,14024,14107,14190
349,42119,Quemú Quemú,8756,8772,8789,8805,8821,8838,8854,8870,8887,8903,8836,8766,8705,8649,8601,8556,8513,8478,8452,8430,8412,8404,8395,8398,8406
350,46119,San Blas de los Sauces,4048,4048,4048,4048,4048,4049,4049,4049,4049,4049,4068,4088,4110,4131,4153,4174,4197,4218,4241,4263,4284,4306,4327,4347,4367
351,50119,Tunuyán,42125,43041,43957,44873,45789,46705,47621,48537,49453,50369,51215,52056,52892,53719,54537,55345,56145,56934,57712,58478,59231,59972,60700,61414,62115
352,54119,25 de Mayo,27187,27292,27397,27502,27607,27711,27816,27921,28026,28131,28376,28615,28854,29090,29326,29557,29784,30008,30233,30448,30664,30877,31083,31287,31485
353,66119,Molinos,5565,5589,5613,5638,5662,5686,5710,5735,5759,5783,5785,5787,5789,5791,5793,5795,5797,5799,5801,5804,5805,5808,5809,5811,5813
354,70119,Valle Fértil,6864,6923,6981,7040,7099,7157,7216,7275,7333,7392,7478,7567,7653,7742,7827,7915,8002,8087,8174,8258,8342,8425,8508,8590,8671
355,82119,San Lorenzo,142097,144092,146088,148083,150079,152074,154070,156065,158061,160056,162728,165432,168174,170948,173749,176572,179413,182272,185141,188017,190900,193786,196674,199563,202453
356,86119,Moreno,28053,28517,28981,29445,29909,30372,30836,31300,31764,32228,32881,33542,34211,34888,35566,36252,36939,37628,38315,39000,39678,40352,41017,41673,42318
357,90119,Yerba Buena,63707,65181,66656,68130,69604,71079,72553,74027,75502,76976,79142,81313,83485,85654,87818,89970,92117,94251,96366,98462,100536,102589,104619,106623,108598
358,6126,Campana,83698,84958,86219,87479,88739,90000,91260,92520,93781,95041,96196,97340,98471,99589,100690,101776,102848,103904,104945,105971,106979,107976,108956,109922,110875
359,14126,San Alberto,32395,32909,33423,33937,34451,34965,35479,35993,36507,37021,37423,37829,38239,38652,39069,39487,39908,40330,40754,41178,41604,42029,42453,42878,43302
360,18126,Saladas,21470,21621,21772,21924,22075,22226,22377,22529,22680,22831,23375,23919,24467,25005,25546,26084,26612,27137,27652,28154,28646,29126,29592,30045,30485
361,22126,1°  de Mayo,9131,9288,9445,9601,9758,9915,10072,10228,10385,10542,10860,11178,11497,11815,12133,12448,12762,13073,13379,13679,13975,14265,14548,14824,15096
362,42126,Rancul,10648,10683,10719,10754,10789,10825,10860,10895,10931,10966,10986,11007,11026,11042,11055,11067,11076,11084,11090,11092,11092,11090,11085,11078,11069
363,46126,Sanagasta,2165,2192,2220,2247,2274,2302,2329,2356,2384,2411,2456,2504,2552,2600,2649,2699,2749,2797,2846,2896,2946,2994,3041,3087,3135
364,50126,Tupungato,28539,29052,29565,30077,30590,31103,31616,32128,32641,33154,33861,34561,35259,35950,36632,37306,37975,38632,39282,39921,40550,41168,41776,42371,42955
365,66126,Orán,124029,125991,127952,129914,131875,133837,135798,137760,139721,141683,143238,144789,146336,147872,149398,150914,152421,153914,155393,156851,158291,159715,161120,162503,163866
366,70126,25 de Mayo,15193,15447,15702,15956,16211,16465,16720,16974,17229,17483,17764,18047,18329,18611,18893,19173,19453,19731,20007,20282,20554,20824,21091,21356,21618
367,82126,San Martín,60698,61188,61677,62167,62657,63146,63636,64126,64615,65105,65286,65471,65655,65842,66027,66213,66398,66582,66764,66945,67123,67299,67471,67642,67810
368,86126,Ojo de agua,13352,13437,13522,13607,13692,13778,13863,13948,14033,14118,14189,14261,14334,14409,14483,14558,14633,14709,14784,14859,14933,15008,15079,15151,15222
369,14133,San Javier,48951,49472,49993,50514,51035,51556,52077,52598,53119,53640,54412,55184,55955,56726,57494,58257,59016,59769,60516,61252,61981,62700,63408,64103,64787
370,18133,San Cosme,13189,13360,13532,13703,13875,14046,14218,14389,14561,14732,15157,15583,16013,16441,16863,17284,17704,18113,18518,18915,19301,19679,20046,20399,20745
371,22133,Quitilipi,32083,32395,32706,33018,33330,33641,33953,34265,34576,34888,34678,34467,34256,34046,33836,33628,33421,33215,33014,32815,32621,32430,32242,32059,31880
372,42133,Realicó,15302,15451,15600,15750,15899,16048,16197,16347,16496,16645,16710,16775,16840,16903,16965,17024,17084,17141,17197,17252,17304,17356,17405,17452,17498
373,66133,Rivadavia,27370,27773,28176,28579,28982,29385,29788,30191,30594,30997,31605,32214,32819,33422,34019,34613,35203,35789,36369,36940,37504,38062,38612,39154,39688
374,70133,Zonda,4038,4140,4242,4345,4447,4549,4651,4754,4856,4958,5102,5247,5392,5537,5681,5826,5969,6112,6254,6395,6535,6674,6812,6947,7081
375,82133,Vera,51303,51446,51588,51731,51873,52016,52158,52301,52443,52586,52837,53094,53349,53604,53857,54106,54351,54588,54819,55042,55257,55463,55660,55847,56026
376,86133,Pelegrini,19517,19646,19775,19904,20033,20161,20290,20419,20548,20677,21124,21571,22022,22482,22945,23408,23874,24343,24810,25273,25733,26193,26643,27087,27526
377,6134,Cañuelas,42575,43629,44683,45736,46790,47844,48898,49951,51005,52059,53706,55341,56960,58558,60131,61682,63214,64724,66213,67677,69118,70542,71943,73325,74686
378,6140,Capitán Sarmiento,12854,13045,13237,13428,13619,13811,14002,14193,14385,14576,14692,14808,14922,15035,15146,15256,15364,15471,15575,15680,15781,15882,15981,16078,16174
379,14140,San Justo,190182,192037,193891,195746,197601,199455,201310,203165,205019,206874,208794,210711,212622,214521,216404,218271,220117,221942,223740,225509,227246,228951,230620,232249,233838
380,18140,San Luis del Palmar,16513,16682,16851,17020,17189,17357,17526,17695,17864,18033,18323,18612,18902,19189,19478,19761,20044,20322,20596,20864,21126,21381,21627,21868,22102
381,22140,San Fernando,365637,369461,373285,377109,380933,384757,388581,392405,396229,400053,401224,402395,403570,404741,405907,407068,408221,409365,410494,411603,412693,413764,414813,415842,416844
382,42140,Toay,9256,9629,10001,10374,10746,11119,11491,11864,12236,12609,12995,13389,13795,14213,14641,15070,15517,15977,16450,16931,17422,17927,18443,18975,19520
383,66140,Rosario de la Frontera,28013,28194,28375,28557,28738,28919,29100,29282,29463,29644,29999,30353,30706,31056,31401,31747,32091,32430,32766,33098,33428,33750,34069,34385,34697
384,86140,Quebrachos,11331,11264,11197,11129,11062,10995,10928,10860,10793,10726,10848,10976,11106,11242,11377,11513,11652,11791,11930,12069,12203,12336,12465,12593,12716
385,6147,Carlos Casares,21125,21267,21410,21552,21695,21837,21980,22122,22265,22407,22451,22495,22539,22582,22624,22666,22707,22748,22788,22828,22867,22905,22943,22980,23017
386,14147,Santa María,86083,87560,89037,90514,91991,93469,94946,96423,97900,99377,102534,105728,108956,112215,115499,118807,122138,125488,128854,132230,135618,139012,142411,145811,149206
387,18147,San Martín,12236,12373,12510,12646,12783,12920,13057,13193,13330,13467,13613,13759,13906,14053,14199,14342,14486,14626,14766,14902,15034,15164,15289,15411,15528
388,22147,San Lorenzo,14252,14343,14434,14526,14617,14708,14799,14891,14982,15073,15155,15238,15323,15405,15489,15571,15653,15734,15814,15893,15969,16045,16119,16191,16262
389,42147,Trenel,5324,5354,5383,5413,5443,5472,5502,5532,5561,5591,5595,5599,5604,5609,5613,5617,5620,5624,5628,5631,5634,5637,5640,5643,5646
390,66147,Rosario de Lerma,33741,34379,35016,35654,36292,36929,37567,38205,38842,39480,40469,41457,42442,43420,44391,45357,46316,47267,48208,49137,50053,50961,51853,52736,53603
391,86147,Río Hondo,50781,51272,51763,52254,52745,53236,53727,54218,54709,55200,56120,57052,57993,58945,59901,60866,61834,62803,63771,64733,65689,66637,67573,68497,69404
392,6154,Carlos Tejedor,11539,11555,11570,11586,11602,11617,11633,11649,11664,11680,11891,12103,12314,12526,12737,12949,13160,13372,13583,13583,14007,14007,14430,14430,14853
393,14154,Sobremonte,4531,4554,4576,4599,4622,4644,4667,4690,4712,4735,4701,4668,4637,4605,4575,4544,4515,4487,4458,4431,4405,4381,4356,4334,4313
394,18154,San Miguel,10252,10319,10386,10453,10520,10588,10655,10722,10789,10856,11015,11175,11334,11494,11651,11808,11966,12118,12266,12415,12560,12700,12836,12968,13098
395,22154,Sargento Cabral,15030,15168,15306,15444,15582,15721,15859,15997,16135,16273,16478,16686,16893,17101,17308,17514,17719,17921,18119,18315,18508,18696,18881,19061,19238
396,42154,Utracán,14504,14584,14665,14745,14826,14906,14987,15067,15148,15228,15468,15702,15931,16154,16370,16579,16782,16977,17165,17347,17519,17686,17844,17988,18131
397,66154,San Carlos,7208,7206,7203,7201,7199,7196,7194,7192,7189,7187,7241,7286,7341,7395,7440,7490,7540,7589,7639,7684,7734,7779,7828,7868,7918
398,86154,Rivadavia,4916,4933,4949,4966,4982,4999,5015,5032,5048,5065,5085,5105,5125,5146,5166,5188,5208,5231,5251,5272,5292,5314,5334,5354,5374
399,6161,Carmen de Areco,13992,14083,14174,14264,14355,14446,14537,14627,14718,14809,15034,15260,15480,15700,15917,16128,16339,16548,16750,16953,17150,17345,17539,17727,17913
400,14161,Tercero Arriba,107460,108070,108679,109289,109899,110508,111118,111728,112337,112947,113609,114266,114916,115557,116187,116805,117411,118003,118579,119139,119682,120207,120712,121197,121661
401,18161,San Roque,17951,18052,18154,18255,18356,18458,18559,18660,18762,18863,19193,19521,19855,20183,20510,20835,21156,21475,21787,22092,22392,22682,22965,23239,23504
402,22161,Tapenagá,4188,4190,4193,4195,4198,4200,4203,4205,4208,4210,4194,4175,4160,4141,4122,4107,4094,4079,4069,4060,4054,4051,4051,4051,4051
403,66161,Santa Victoria,11122,11065,11008,10951,10894,10836,10779,10722,10665,10608,10504,10400,10298,10197,10096,9994,9894,9794,9697,9599,9503,9411,9316,9225,9134
404,86161,Robles,40060,40567,41074,41581,42088,42596,43103,43610,44117,44624,45369,46123,46885,47654,48428,49208,49991,50776,51560,52339,53112,53879,54637,55384,56119
405,6168,Castelli,7852,7898,7945,7991,8038,8084,8131,8177,8224,8270,8383,8497,8610,8721,8832,8937,9042,9148,9251,9353,9453,9551,9650,9745,9840
406,14168,Totoral,16479,16712,16945,17177,17410,17643,17876,18108,18341,18574,18892,19212,19534,19858,20183,20509,20837,21164,21492,21820,22147,22473,22797,23120,23442
407,18168,Santo Tomé,54050,55013,55977,56940,57904,58867,59831,60794,61758,62721,63514,64310,65105,65899,66688,67471,68247,69014,69765,70501,71220,71922,72602,73264,73903
408,22168,25 de Mayo,28070,28277,28485,28692,28899,29107,29314,29521,29729,29936,30163,30392,30621,30850,31078,31305,31530,31751,31972,32187,32398,32606,32810,33008,33203
409,86168,Salavina,10664,10735,10807,10878,10949,11021,11092,11163,11235,11306,11424,11544,11664,11786,11909,12033,12158,12282,12405,12531,12653,12775,12895,13013,13130
410,6175,Colón,23179,23388,23598,23807,24016,24226,24435,24644,24854,25063,25272,25479,25684,25886,26087,26283,26478,26668,26857,27043,27226,27406,27584,27758,27931
411,14175,Tulumba,12211,12294,12377,12460,12543,12626,12709,12792,12875,12958,13059,13158,13258,13356,13454,13550,13646,13739,13830,13919,14007,14092,14174,14255,14333
412,18175,Sauce,9151,9166,9182,9197,9213,9228,9244,9259,9275,9290,9378,9467,9575,9663,9752,9850,9939,10027,10116,10214,10293,10382,10460,10539,10608
413,86175,San Martín,9148,9231,9314,9397,9480,9564,9647,9730,9813,9896,10000,10105,10211,10317,10425,10533,10641,10751,10860,10968,11075,11183,11288,11392,11493
414,6182,Coronel de Marina L. Rosales,60892,61094,61296,61499,61701,61903,62105,62308,62510,62712,62989,63266,63537,63808,64072,64333,64591,64845,65093,65340,65581,65823,66057,66288,66516
415,14182,Unión,100247,101030,101814,102597,103381,104164,104948,105731,106515,107298,107853,108407,108959,109506,110048,110584,111114,111637,112151,112655,113150,113635,114107,114567,115015
416,86182,Sarmiento,4669,4668,4667,4666,4665,4665,4664,4663,4662,4661,4691,4725,4758,4786,4819,4847,4878,4911,4942,4969,5003,5034,5064,5095,5128
417,6189,Coronel Dorrego,16522,16464,16406,16347,16289,16231,16173,16114,16056,15998,15978,15961,15943,15925,15908,15891,15874,15858,15842,15826,15810,15795,15779,15764,15749
418,86189,Silípica,7605,7626,7647,7667,7688,7709,7730,7750,7771,7792,7949,8107,8273,8439,8597,8763,8936,9102,9268,9434,9600,9766,9923,10089,10239
419,6196,Coronel Pringles,23794,23726,23657,23589,23521,23452,23384,23316,23247,23179,23266,23347,23429,23509,23589,23666,23743,23818,23893,23967,24038,24110,24180,24248,24316
420,6203,Coronel Suárez,36828,37028,37228,37428,37628,37828,38028,38228,38428,38628,38911,39183,39453,39720,39982,40240,40495,40746,40995,41239,41476,41713,41946,42175,42401
421,6210,Chacabuco,45445,45846,46247,46647,47048,47449,47850,48250,48651,49052,49351,49648,49943,50233,50518,50800,51078,51352,51623,51888,52150,52409,52663,52914,53160
422,6217,Chascomús,38647,39080,39514,39947,40381,40814,41248,41681,42115,42548,43066,43580,44090,44593,45087,45575,46057,46531,47000,47461,47913,48361,48802,49235,49664
423,6224,Chivilcoy,60762,61196,61631,62065,62499,62934,63368,63802,64237,64671,65195,65716,66230,66739,67240,67733,68220,68701,69176,69641,70100,70554,71000,71440,71871
424,6231,Daireaux,15857,15985,16114,16242,16371,16499,16628,16756,16885,17013,17129,17246,17362,17474,17587,17698,17806,17914,18020,18124,18227,18328,18428,18526,18622
425,6238,Dolores,25216,25442,25668,25894,26120,26347,26573,26799,27025,27251,27622,27990,28354,28712,29065,29413,29758,30099,30430,30761,31085,31405,31719,32028,32336
426,6245,Ensenada,51448,52079,52709,53340,53970,54601,55231,55862,56492,57123,57734,58341,58940,59533,60117,60692,61260,61821,62372,62915,63450,63978,64498,65010,65514
427,6252,Escobar,178155,182277,186400,190522,194644,198767,202889,207011,211134,215256,218288,221962,225580,229150,232667,236169,239621,243015,246350,249658,252882,256071,259203,262289,265328
428,6260,Esteban Echeverría,243974,250286,256599,262911,269223,275536,281848,288160,294473,300785,304405,307859,311104,314343,317417,320512,323547,326585,329409,332214,335055,337880,340656,343401,346165
429,6266,Exaltación de la Cruz,24167,24803,25438,26074,26710,27345,27981,28617,29252,29888,30793,31691,32580,33457,34321,35173,36013,36842,37660,38463,39256,40036,40806,41565,42310
430,6270,Ezeiza,118807,123749,128691,133634,138576,143518,148460,153403,158345,163287,166498,169736,172836,175899,178891,181817,184707,187557,190367,193134,195917,198620,201274,203944,206593
431,6274,Florencio Varela,348970,357611,366252,374893,383534,392174,400815,409456,418097,426738,432496,437980,443377,448706,453888,458953,464068,468998,473855,478692,483401,488103,492795,497514,502186
432,6277,Florentino Ameghino,8171,8256,8340,8425,8509,8594,8678,8763,8847,8932,9094,9256,9414,9572,9728,9882,10033,10183,10330,10475,10618,10759,10895,11033,11165
433,6280,General Alvarado,34391,34996,35601,36206,36811,37417,38022,38627,39232,39837,40325,40809,41288,41761,42227,42686,43139,43586,44026,44460,44886,45307,45723,46131,46534
434,6287,General Alvear,10897,10934,10972,11009,11047,11084,11122,11159,11197,11234,11136,11039,10946,10852,10759,10669,10576,10490,10404,10314,10228,10150,10067,9985,9903
435,6294,General Arenales,14876,14894,14913,14931,14950,14968,14987,15005,15024,15042,15150,15312,15366,15474,15582,15690,15798,15906,15960,16068,16122,16231,16339,16447,16555
436,6301,General Belgrano,15381,15614,15846,16079,16311,16544,16776,17009,17241,17474,17757,18041,18322,18597,18871,19138,19404,19666,19924,20177,20427,20674,20916,21155,21391
437,6308,General Guido,2771,2779,2787,2794,2802,2810,2818,2825,2833,2841,2872,2898,2925,2951,2977,3004,3030,3056,3083,3109,3135,3157,3183,3204,3230
438,6315,General Juan Madariaga,18286,18463,18640,18817,18994,19172,19349,19526,19703,19880,20120,20357,20592,20823,21052,21278,21500,21721,21936,22148,22358,22566,22768,22969,23167
439,6322,General La Madrid,10984,10974,10964,10953,10943,10933,10923,10912,10902,10892,10948,11007,11061,11117,11172,11226,11280,11332,11385,11435,11485,11535,11584,11632,11680
440,6329,General Las Heras,12799,13039,13278,13518,13757,13997,14236,14476,14715,14955,15225,15492,15758,16019,16277,16529,16780,17028,17271,17510,17746,17980,18208,18434,18657
441,6336,General Lavalle,3063,3135,3207,3280,3352,3424,3496,3569,3641,3713,3814,3914,4013,4110,4208,4301,4396,4489,4580,4670,4758,4846,4931,5016,5100
442,6343,General Paz,10319,10427,10536,10644,10752,10861,10969,11077,11186,11294,11545,11796,12048,12294,12535,12776,13012,13243,13474,13699,13920,14141,14356,14566,14777
443,6351,General Pinto,11129,11155,11181,11207,11233,11259,11285,11311,11337,11363,11501,11631,11760,11881,12011,12132,12262,12383,12496,12617,12729,12842,12954,13066,13179
444,6357,General Pueyrredón,564056,570760,577463,584167,590870,597574,604277,610981,617684,624388,627559,630737,633883,636988,640049,643092,646098,649062,651986,654887,657746,660569,663352,666096,668800
445,6364,General Rodríguez,67931,70087,72244,74400,76557,78713,80870,83026,85183,87339,92245,97109,101922,106672,111352,115967,120522,125013,129439,133795,138084,142315,146485,150595,154641
446,6371,General San Martín,403107,404764,406420,408077,409734,411390,413047,414704,416360,418017,420414,422713,425008,427297,429518,431736,433947,436193,438333,440498,442502,444503,446472,448308,449859
447,6385,General Viamonte,17641,17707,17772,17838,17904,17969,18035,18101,18166,18232,18618,18997,19370,19742,20115,20467,20825,21177,21522,21860,22198,22530,22861,23178,23495
448,6392,General Villegas,28960,29197,29434,29671,29908,30144,30381,30618,30855,31092,31444,31795,32143,32484,32823,33156,33484,33807,34126,34441,34751,35055,35355,35651,35943
449,6399,Guaminí,11257,11330,11404,11477,11551,11624,11698,11771,11845,11918,11895,11872,11850,11828,11806,11784,11763,11742,11722,11701,11681,11662,11642,11623,11604
450,6406,Hipólito Yrigoyen,8819,8912,9005,9098,9191,9285,9378,9471,9564,9657,9740,9820,9902,9982,10060,10137,10214,10290,10364,10437,10510,10581,10650,10719,10787
451,6408,Hurlingham,172245,173396,174547,175698,176849,178000,179151,180302,181453,182604,182850,183094,183335,183573,183808,184040,184268,184493,184715,184933,185149,185361,185570,185776,185979
452,6410,Ituzaingó,158121,159334,160547,161760,162973,164186,165399,166612,167825,169038,169841,170639,171427,172206,172973,173728,174475,175212,175936,176650,177353,177983,178602,179211,179811
453,6412,José C. Paz,230208,234327,238445,242564,246682,250801,254919,259038,263156,267275,272604,277887,283112,288273,293355,298428,303376,308051,312857,317272,321932,326527,330866,335030,339113
454,6413,Junín,88664,88945,89226,89507,89788,90068,90349,90630,90911,91192,97636,98055,98479,98912,99344,99569,99793,100018,100251,100484,100722,100964,101201,101447,101697
455,6420,La Costa,60483,61544,62605,63666,64727,65789,66850,67911,68972,70033,72742,75431,78087,80713,83299,85847,88364,90845,93287,95690,98060,100400,102703,104973,107208
456,6427,La Matanza,1255288,1313315,1371342,1429369,1487396,1545422,1603449,1661476,1719503,1777530,1782827,1788097,1793310,1798447,1803509,1808500,1813432,1818320,1823144,1827876,1832542,1837168,1841738,1846233,1850702
457,6434,Lanús,453082,454246,455409,456573,457737,458900,460064,461228,462391,463555,463244,462934,462628,462329,462035,461745,461455,461173,460895,460621,460351,460081,459819,459561,459307
458,6441,La Plata,574369,583836,593304,602771,612238,621706,631173,640640,650108,659575,667319,675902,684465,692905,701213,709301,717366,725363,733194,741003,748590,756074,763415,770647,777781
459,6448,Laprida,9683,9750,9817,9884,9951,10019,10086,10153,10220,10287,10396,10502,10607,10712,10814,10917,11016,11115,11213,11309,11403,11496,11588,11677,11767
460,6455,Las Flores,23551,23611,23670,23730,23789,23849,23908,23968,24027,24087,24436,24698,24951,25205,25458,25703,25947,26192,26428,26664,26908,27136,27363,27581,27808
461,6462,Leandro N. Alem,16358,16423,16488,16553,16618,16682,16747,16812,16877,16942,16960,16979,16997,17016,17033,17051,17069,17086,17103,17120,17136,17153,17169,17185,17200
462,6469,Lincoln,41127,41247,41366,41486,41606,41725,41845,41965,42084,42204,42481,42736,42991,43222,43477,43732,43986,44218,44473,44704,44959,45191,45399,45654,45885
463,6476,Lobería,17008,17082,17155,17229,17303,17376,17450,17524,17597,17671,17710,17748,17786,17824,17860,17897,17933,17969,18004,18038,18072,18106,18138,18171,18203
464,6483,Lobos,33141,33504,33866,34229,34591,34954,35316,35679,36041,36404,36841,37285,37726,38160,38588,39011,39426,39837,40242,40639,41031,41418,41798,42173,42543
465,6490,Lomas de Zamora,591345,594689,598033,601377,604721,608064,611408,614752,618096,621440,627247,633079,638947,644682,650289,655781,661140,666279,671258,676216,681039,685644,690097,694370,698510
466,6497,Luján,93992,95425,96857,98290,99723,101155,102588,104021,105453,106886,107173,107459,107741,108020,108294,108565,108832,109096,109355,109611,109862,110111,110355,110596,110834
467,6505,Magdalena,16603,16861,17119,17377,17635,17892,18150,18408,18666,18924,19307,19684,20059,20426,20788,21095,21395,21688,21974,22207,22433,22653,22868,23074,23277
468,6511,Maipú,10193,10200,10207,10214,10221,10227,10234,10241,10248,10255,10303,10376,10455,10534,10614,10699,10790,10875,10966,11064,11149,11253,11350,11453,11557
469,6515,Malvinas Argentinas,290691,294432,298173,301913,305654,309395,313136,316876,320617,324358,326575,328802,330977,333153,335321,337466,339524,341554,343553,345520,347488,349401,351285,353141,354999
470,6518,Mar Chiquita,17908,18292,18675,19059,19443,19826,20210,20594,20977,21361,22398,23425,24442,25445,26432,27408,28369,29317,30253,31172,32078,32973,33852,34719,35574
471,6525,Marcos Paz,43400,44615,45830,47046,48261,49476,50691,51907,53122,54337,55267,56188,57102,58002,58890,59764,60628,61480,62319,63145,63958,64761,65551,66331,67097
472,6532,Mercedes,59870,60302,60734,61166,61598,62031,62463,62895,63327,63759,64403,65045,65680,66305,66922,67531,68130,68722,69306,69880,70445,71002,71552,72094,72627
473,6539,Merlo,469985,476832,483679,490526,497373,504221,511068,517915,524762,531609,535770,539916,544203,548453,552726,556984,561218,565433,569569,573671,577661,581484,585233,588924,592378
474,6547,Monte,17488,17891,18293,18696,19098,19501,19903,20306,20708,21111,21366,21658,21946,22249,22535,22898,23205,23484,23799,24004,24317,24616,24939,25257,25559
475,6553,Monte Hermoso,5602,5706,5809,5913,6016,6120,6223,6327,6430,6534,6715,6881,7049,7215,7375,7534,7690,7847,7998,8149,8296,8444,8585,8725,8864
476,6560,Moreno,380503,388716,396928,405141,413353,421566,429778,437991,446203,454416,464641,475018,485585,495970,506273,516446,526619,536665,546753,556585,566231,575758,585164,594448,603457
477,6568,Morón,309380,311035,312691,314346,316002,317657,319313,320968,322624,324279,324747,325220,325679,326124,326569,327015,327456,327881,328301,328697,329110,329517,329916,330318,330699
478,6574,Navarro,15797,15951,16105,16259,16413,16568,16722,16876,17030,17184,17427,17664,17901,18133,18363,18594,18815,19036,19253,19467,19680,19888,20091,20292,20493
479,6581,Necochea,89096,89611,90126,90641,91156,91670,92185,92700,93215,93730,94424,95109,95789,96458,97120,97768,98410,99047,99669,100282,100887,101483,102073,102651,103221
